population,profile_id,rotor_position,rotor_present,s2_coupling_interval_ms,apd90_0d_ms,erp_1d_ms,cv_1d_cm_s,vw_any_duration_ms,vw_sustained_duration_ms,df_baseline_hz,area_baseline_cm2,df_baseline_interval_0p5hz,df_baseline_subgroup
pAF,841,i,1,207,205.100829556693,208,79.4451450189156,1,1,6.34765625,1.1817,6.0-6.5,mid
pAF,848,i,1,243,190.331571007526,233,84.7913862718708,22,15,4.39453125,0.9639,4.1-4.5,low
pAF,850,i,1,241,178.905320333324,233,73.943661971831,23,15,4.39453125,0.8901,4.1-4.5,low
pAF,856,i,1,190,186.644768196107,189,65.0826446280992,26,26,6.591796875,0.9261,6.5-7.3,high
pAF,865,i,1,219,178.786315304882,211,79.746835443038,32,17,5.0048828125,1.1655,5.0-5.5,mid
pAF,874,i,0,NaN,186.397865192434,193,78.0669144981412,2,2,NaN,NaN,,mid
pAF,875,i,0,NaN,163.070825246432,200,62.5,30,28,NaN,NaN,,
pAF,877,i,0,NaN,192.500034269142,201,86.8965517241379,13,5,NaN,NaN,,
pAF,884,i,1,190,192.493484778948,192,76.0869565217391,7,7,7.2021484375,1.1943,6.5-7.3,high
pAF,889,i,1,233,176.313667807663,225,83.5543766578249,25,13,4.638671875,0.9963,4.5-5.0,low
pAF,907,i,0,NaN,210.779840101641,215,86.1833105335157,6,1,NaN,NaN,,
pAF,923,i,0,NaN,211.965888417355,272,59.0994371482176,7,0,NaN,NaN,,
pAF,937,i,1,233,204.008316693908,230,63.1895687061183,16,16,4.7607421875,1.0071,4.5-5.0,low
pAF,972,i,1,212,196.07581528039,210,67.4518201284796,14,14,5.2490234375,1.206,5.0-5.5,mid
pAF,974,i,1,188,177.871793378028,185,81.2903225806451,18,18,6.4697265625,1.2366,6.0-6.5,mid
pAF,975,i,0,NaN,237.416265868473,256,75.7211538461538,0,0,NaN,NaN,,
pAF,988,i,1,179,164.15947095133,177,79.646017699115,18,18,6.8359375,0.9576,6.5-7.3,high
pAF,1003,i,1,193,174.737608074698,189,86.3013698630137,23,23,5.7373046875,1.1772,5.5-6.0,mid
pAF,1017,i,1,196,176.713842390702,190,79.9492385786802,18,13,5.9814453125,1.2933,5.5-6.0,mid
pAF,1037,i,1,227,217.514996776816,227,65.6934306569343,3,3,5.37109375,1.1592,5.0-5.5,mid
pAF,1038,i,1,185,179.771896525504,183,82.03125,17,17,6.591796875,1.08,6.5-7.3,high
pAF,1040,i,0,NaN,219.698918544316,288,84.4504021447721,28,0,NaN,NaN,,
pAF,1059,i,0,NaN,234.060845519984,234,82.4607329842932,3,0,NaN,NaN,,
pAF,1089,i,0,NaN,216.775488812527,246,86.896551724138,3,0,NaN,NaN,,
pAF,1109,i,0,NaN,163.917816645167,205,83.554376657825,31,0,NaN,NaN,,
pAF,1110,i,1,240,198.851260728334,233,76.0869565217391,16,12,4.8828125,1.152,4.5-5.0,low
pAF,1125,i,0,NaN,185.340771250485,234,76.0869565217391,18,0,NaN,NaN,,
pAF,1135,i,1,203,191.039507566005,201,75.8122743682311,15,15,6.34765625,1.2096,6.0-6.5,mid
pAF,1137,i,1,218,188.72955789906,215,75.1789976133652,21,21,5.37109375,1.3185,5.0-5.5,mid
pAF,1140,i,1,205,162.804375267515,201,71.3476783691959,35,33,5.37109375,1.0908,5.0-5.5,mid
pAF,1141,i,1,210,178.808036225193,201,71.4285714285714,32,7,5.2490234375,1.4067,5.0-5.5,mid
pAF,1147,i,1,207,183.777109008442,200,78.9473684210526,27,25,5.37109375,1.2555,5.0-5.5,mid
pAF,1173,i,1,229,189.436115059609,223,79.2452830188679,17,1,4.8828125,1.278,4.5-5.0,low
pAF,1176,i,1,185,161.215743792884,181,80.7692307692308,31,31,6.103515625,1.2555,6.0-6.5,mid
pAF,1182,i,0,NaN,236.298584956479,295,85.9481582537517,17,0,NaN,NaN,,
pAF,1184,i,0,NaN,227.067937728942,232,74.5562130177515,4,4,NaN,NaN,,mid
pAF,1198,i,1,187,163.226797826959,184,63.12625250501,31,31,5.859375,0.918,5.5-6.0,mid
pAF,1210,i,1,199,170.16951278635,192,57.6923076923077,41,41,5.126953125,1.071,5.0-5.5,mid
pAF,1213,i,1,205,203.211399122869,203,83.5543766578249,17,3,5.9814453125,1.4805,5.5-6.0,mid
pAF,1226,i,0,NaN,230.547504680384,256,88.2352941176471,11,0,NaN,NaN,,
pAF,1241,i,0,NaN,212.546354602113,225,82.1382007822686,10,3,NaN,NaN,,
pAF,1246,i,1,177,164.597771638124,172,85.3658536585366,25,23,6.8359375,1.2366,6.5-7.3,high
pAF,1255,i,1,264,235.537404389681,258,62.3762376237624,5,1,4.5166015625,1.2393,4.5-5.0,low
pAF,1260,i,1,201,181.337033036478,197,78.9473684210526,24,24,5.7373046875,1.3077,5.5-6.0,mid
pAF,1273,i,0,NaN,234.103182244406,251,88.35904628331,7,0,NaN,NaN,,
pAF,1278,i,0,NaN,234.574485233985,281,81.0810810810811,23,0,NaN,NaN,,
pAF,1282,i,1,187,185.625420388191,186,80.0508259212198,15,15,7.080078125,1.0368,6.5-7.3,high
pAF,1324,i,1,196,188.988272264593,194,77.7777777777778,14,14,6.34765625,0.8829,6.0-6.5,mid
pAF,1325,i,0,NaN,233.748360914433,278,64.2857142857142,11,0,NaN,NaN,,
pAF,1336,i,0,NaN,197.830746301915,243,68.7022900763359,29,0,NaN,NaN,,
pAF,1342,i,1,214,167.655658641212,208,75.7211538461538,30,7,5.859375,0.7101,5.5-6.0,mid
pAF,1345,i,0,NaN,206.880223900946,240,79.3450881612091,17,0,NaN,NaN,,
pAF,1346,i,1,223,206.745859913761,219,79.746835443038,16,14,5.37109375,1.4463,5.0-5.5,mid
pAF,1350,i,1,199,194.460195570769,199,72.3306544202067,6,6,6.34765625,0.8442,6.0-6.5,mid
pAF,1356,i,1,213,180.242733435342,204,85.4816824966079,29,11,5.2490234375,1.2312,5.0-5.5,mid
pAF,1450,i,1,250,207.36275829807,240,84.4504021447721,15,3,4.5166015625,1.0944,4.5-5.0,low
pAF,1461,i,0,NaN,230.203355450329,241,72.0823798627002,0,0,NaN,NaN,,
pAF,1466,i,0,NaN,230.45830288437,245,82.8947368421053,5,0,NaN,NaN,,
pAF,1476,i,1,181,163.7437475837,174,77.5862068965517,21,19,6.103515625,1.2843,6.0-6.5,mid
pAF,1510,i,1,187,171.918640463402,184,81.1855670103093,20,20,6.2255859375,1.2735,6.0-6.5,mid
pAF,1523,i,0,NaN,233.910030742256,252,89.2351274787536,10,0,NaN,NaN,,
pAF,1527,i,1,226,215.37304394535,225,77.2058823529412,3,3,5.37109375,1.242,5.0-5.5,mid
pAF,1532,i,0,NaN,201.942262819859,259,84.6774193548387,12,0,NaN,NaN,,
pAF,1544,i,1,186,175.565998396509,184,77.9702970297029,10,10,6.591796875,1.1358,6.5-7.3,high
pAF,1551,i,1,196,172.658388965807,193,72.9166666666667,21,21,5.859375,1.1583,5.5-6.0,mid
pAF,1557,i,0,NaN,231.601545070196,266,85.3658536585366,4,0,NaN,NaN,,
pAF,1561,i,0,NaN,164.255768536808,175,76.3636363636364,0,0,NaN,NaN,,
pAF,1604,i,1,209,190.576548749879,198,86.8965517241379,19,1,5.9814453125,1.4328,5.5-6.0,mid
pAF,1609,i,1,219,171.11409005164,214,68.1818181818182,30,15,4.638671875,1.0935,4.5-5.0,low
pAF,1612,i,0,NaN,243.500127957937,260,83.5543766578249,0,0,NaN,NaN,,
pAF,1628,i,0,NaN,228.595006265736,250,79.9492385786802,1,0,NaN,NaN,,
pAF,1643,i,1,223,219.41465692909,222,74.6445497630332,6,6,5.9814453125,1.197,5.5-6.0,mid
pAF,1655,i,1,175,163.070323620792,173,77.7777777777778,24,24,6.9580078125,1.0278,6.5-7.3,high
pAF,1660,i,1,224,193.059217861482,221,83.223249669749,10,10,5.0048828125,1.1961,5.0-5.5,mid
pAF,1672,i,0,NaN,240.140078618264,247,80.1526717557252,7,0,NaN,NaN,,
pAF,1674,i,0,NaN,218.324749659027,236,79.2452830188679,0,0,NaN,NaN,,
pAF,1696,i,0,NaN,235.614753315815,234,81.0810810810811,0,0,NaN,NaN,,
pAF,1708,i,0,NaN,235.11191596857,249,86.1833105335157,4,0,NaN,NaN,,
pAF,1709,i,0,NaN,212.231416547351,233,85.5978260869565,6,0,NaN,NaN,,
pAF,1710,i,1,222,188.196595984089,218,74.3801652892562,22,22,4.8828125,1.071,4.5-5.0,mid
pAF,1713,i,1,219,194.50322934935,215,71.4285714285714,24,24,5.4931640625,1.1583,5.0-5.5,mid
