population,profile_id,source_batch,source_simulation_id,GCaL,GK1,GKr,GKs,GKur,Gto,GKACh,GNa,GNaK,GNCX,GSK,GK2P,GSAC
IREpAF,2,initial,1,1.64258035113401,1.01516158315372,1.04232403202297,0.71417910023953,1.82130812628879,1.53691138501705,0.904861064465786,1.37165150897635,1.15111020610835,1.42273711258647,0.767038541131612,1.92402680384137,1.75678371069396
IREpAF,122,initial,3,1.74218868366966,1.06954852485987,1.98987383024513,1.8255696362472,1.99515622576499,1.32786955978938,0.569531416126876,1.82741518991199,1.00901834572737,1.84211221329393,1.5659228455754,0.580871713507152,1.20538033704471
IREpAF,181,initial,4,1.42381577768048,0.921680538469149,1.34420968823808,1.67387629613658,1.53078993560439,1.11228186608012,0.820049807876693,1.9645039333293,0.939447018430159,1.64887308678007,0.94930705828341,1.80592542562955,1.34724160644279
IREpAF,197,initial,6,1.04916176383676,1.08053801472851,0.731340151490995,1.22772922130224,1.8934141494987,0.936216081835727,0.527232790179307,1.33089960678663,1.20470562440033,1.22041802668026,0.822804146215327,0.704655627236668,1.22567597266033
IREpAF,261,initial,8,0.981839050374937,0.8065435541864,0.631171842782541,0.708741701417315,1.17966549080007,0.626350151558429,1.62038002374289,1.9182188425652,1.15710289577747,1.74496864996605,1.00761083614167,1.41409537744143,1.10744019338924
IREpAF,339,initial,9,1.37947898764976,0.867152962859242,0.97057191504938,0.958520179886497,0.93420738300892,1.43380831660766,1.73573622368361,1.75367152460529,1.50083099681793,1.39562324131785,0.690942967043029,1.02985300402706,1.69094871658188
IREpAF,360,initial,10,1.09643779220801,0.911747330492629,1.36426154053236,0.995241564489203,1.08661805514064,1.56231039618298,0.779824615724409,1.2589499358349,0.693756971663107,1.81972261235414,1.08107653289687,0.755724771291329,1.06555272895451
IREpAF,371,initial,11,1.38773963049099,0.792039559036026,0.922969772683787,0.513160264262294,1.50399331915894,1.46725287986991,1.11631014340989,1.74951263836146,0.97459841856405,1.89736869349309,1.84995915284532,1.44925501609201,1.40070831042155
IREpAF,507,initial,16,1.39315208824426,0.717137432733484,1.66217561055517,1.92406286880816,1.30881154958542,1.68613725203987,1.58507871795432,1.75415103035229,1.89171238501686,1.9927373722691,1.40035338543638,0.639041771593925,1.65801620985367
IREpAF,648,initial,18,1.59054367246729,1.01110093254429,1.69789095336015,1.58824275428373,1.43051450853318,1.95042028514661,0.865979942625341,1.40553017887868,1.00806990388048,1.62019795435644,1.10410943393052,0.676950769098563,1.64151000385264
IREpAF,762,initial,19,1.25843953861056,0.7857451454659,1.7939429911371,1.65239987785378,1.48322910167509,1.08437145022859,1.57681575566415,1.47344663944854,1.12988593565959,1.90794163251937,0.81491099110163,1.95511274026995,1.5736482607698
IREpAF,1116,initial,30,1.56841762485594,0.760705956948736,1.79810677840253,1.65932665709921,1.8629282197539,1.22437609500509,1.37825818550261,1.4003250636509,1.60964408258493,1.55062279037147,1.69135800213231,1.54627740595845,1.65285609355893
IREpAF,1157,initial,32,1.42835374995358,0.77645894689121,1.43111886930085,1.97955468326285,1.68877952696197,0.897738094769618,1.80951346766038,1.63601272055746,1.30570477788326,1.7778295089051,0.516224686718728,1.51084204295448,1.22954387647742
IREpAF,1170,initial,33,1.02117248982772,0.837886588038401,0.74891938505639,1.33329441997296,1.33262641163061,0.63570502661476,1.06626474420906,1.3919508563853,1.62638708011855,1.52251280807122,0.76357669130105,1.41348011423313,1.88627313419294
IREpAF,1208,initial,34,1.02354549562422,0.723801053292782,1.24800898615759,1.02610894638887,0.583825396982038,0.998870781970299,1.38615367017038,1.28498840885431,0.763525185682474,1.61601172867232,1.66858415857363,0.693850581549862,1.2995151379833
IREpAF,1217,initial,35,1.11787765558249,0.659195808473704,0.883496346513763,0.651945769052628,0.735475536950246,1.59692347664896,1.39070110432248,1.32206294037442,0.632666497064923,1.02804312069313,1.7684626671242,1.17021452077177,0.686778928033755
IREpAF,1373,initial,38,1.1409378178339,0.654214896683745,1.44097566134504,0.847067762659774,1.31436527153115,1.97376830060954,1.57391821290987,1.52028501709672,0.668288340421902,1.51110342269356,0.564576405223147,0.598431903532165,0.74066642617763
IREpAF,1426,initial,40,1.09003640268682,0.967008118132421,1.53323370150458,1.12840235678738,1.83569273460972,0.548236149032663,1.53999744790245,1.34762156096335,0.674611174026892,1.94513728065354,0.94534703878298,0.914748892443085,1.69539094435472
IREpAF,1464,initial,41,1.0509675899387,0.60053554513226,0.783033404745785,0.705631218038474,0.597020319828652,1.21420830355192,1.2616694579697,1.86936722431373,1.294965281055,0.747059642757978,1.30541709240075,1.32079373774452,1.20180694280712
IREpAF,1505,initial,42,1.68091632579569,0.731606667420155,1.21523144179075,1.19460874224283,1.92309722136575,1.03569219787751,1.37316105215171,1.96339911842433,1.74543075231561,1.67708920249908,1.10878545414663,1.28809952042651,1.51122584136932
IREpAF,1555,initial,43,1.10603807090051,0.714797077451538,1.40666200104618,1.77102301406349,1.73804558007645,1.22012228593001,1.7506550924187,1.65932575498423,0.931475212783823,1.69857191727932,0.595366280337494,1.4804328292986,1.44588788158613
IREpAF,1582,initial,44,1.61945714500537,0.75586695505686,0.897584181311482,0.737531563116052,1.97015199503568,1.65153527452941,1.61396918016574,1.38604455647882,1.39574977789648,1.77672941712205,1.91242114198889,0.806266224414809,0.89813463395418
IREpAF,1658,initial,45,1.54280910989498,0.553276407905461,0.662110868638037,1.52223908881223,1.81274769219,1.988535526677,0.852958591220871,1.66539944389693,1.57837550399979,1.60199252854278,1.62653492209487,1.84350691592712,1.02341758585576
IREpAF,1663,initial,46,1.88214547991431,0.935350791954508,1.14202239711584,1.66632954351794,1.43133605854332,1.88505716704993,0.690903188123627,1.70842106541177,1.3037500613802,1.94149956029925,1.99207642385515,1.6598249054507,1.39211751744134
IREpAF,1847,initial,50,1.25925361578137,0.62028692509435,0.815567968097403,1.96771943465537,1.35239018846615,1.41552658449214,1.59636701195617,1.40815458042678,1.55360815411048,1.77647503112267,0.757838566796996,1.80277344158363,1.19583416861603
IREpAF,1913,initial,51,1.75151978676921,0.638987492337703,1.88785702013399,0.606310933563243,1.959638154818,1.89242399442317,1.95910950905192,1.47865341007766,1.60074666573591,1.12987129104858,0.582166252983219,0.752663125847436,0.746919906073105
IREpAF,2250,initial,58,1.58097615808157,0.857020508533444,1.97239553157973,1.33485314489522,1.57595924604676,1.57690651346815,1.04462000282537,1.41292946023905,1.65838339269165,1.06729342369927,1.55780138552645,0.602516189443786,1.80268662684638
IREpAF,2379,initial,62,1.31246355769981,1.06030967598886,1.39452188539732,1.16019466949997,1.92622717212131,0.539146003357569,0.736457267402454,1.65716966989493,0.835808213921276,1.38213534802063,0.56416142891726,1.81593105822393,1.65874653199677
IREpAF,2417,initial,64,1.40177571311593,0.892888819781734,1.3761266401007,1.31282323577623,1.67578566138525,1.10717910419725,1.42738415812039,1.24328610425643,0.98490163161861,1.42954588560043,1.03014819794283,1.02942592841251,1.52738035045068
