population,profile_id,source_batch,source_simulation_id,GCaL,GK1,GKr,GKs,GKur,Gto,GKACh,GNa,GNaK,GNCX,GSK,GK2P,GSAC
pAF,11,distributed_node_runs,1,1.2335281249036,1.11752903761439,1.76849463770823,0.962733238297171,1.8411825881119,1.79330707879853,1.51705142045063,0.987188393102252,1.8081650112838,0.604476526074695,0.950360472199151,0.543843772840971,1.58390941776326
pAF,19,distributed_node_runs,2,1.40564915520941,1.88970974455683,0.510647624842776,0.562051135664791,1.56930977600335,1.86059615990364,0.534903945620171,1.40870481695019,1.37321293079188,1.68975290516243,1.52177968616509,1.22695171199192,1.99441345040585
pAF,23,distributed_node_runs,3,0.592617525264955,0.976364251163074,0.888000072129496,1.68288470881571,0.809128967421601,0.543837221040957,1.86598834434875,0.864790634733932,1.16292691738796,0.747747974451667,1.75008655736628,1.48946130051542,1.77616779882437
pAF,37,distributed_node_runs,4,0.658230475989099,1.10621803655342,0.757072455597616,0.859504235030501,1.90499147253479,0.767268387128473,1.07061034920342,1.87198460161425,0.632543448502156,0.882137918598388,1.38142147072418,1.14053809476651,0.546637967274014
pAF,49,distributed_node_runs,5,1.20024368385172,1.28368285507492,1.46100266831623,1.67998104573715,1.3288799082287,0.835280547756876,1.93742637861686,1.39796959487084,0.891128445733999,1.7003539672108,1.51675173160785,1.41731945711606,1.8163750650396
pAF,73,distributed_node_runs,6,0.785814672587723,1.33805906654792,0.772004764197632,0.681009523769664,1.5420269380607,0.669591017049053,1.33338944791997,1.42869908421649,1.22700213577301,0.816087997754528,0.703697266115356,0.82419573644926,0.868094196789491
pAF,85,distributed_node_runs,7,1.23246714916949,1.23490323171708,0.932214843155311,1.44329708998911,1.21914108320272,1.27279166210913,1.70385775956111,1.74614232597555,0.914254692060539,0.949952587391985,1.3570346425732,1.9874188237109,0.807086507077664
pAF,99,distributed_node_runs,8,1.07653073309064,1.00371184580962,0.597151945312511,1.23841763269636,1.03341459121989,1.45249596456085,1.78653372678266,1.49031146137507,1.4728632326403,0.873966860029586,1.24449551872059,1.61356534964271,1.89960145975178
pAF,117,distributed_node_runs,9,0.996672915173628,0.928569687714086,0.913387468524398,1.76832490689121,0.554806973142224,0.996578973302902,1.93906650955049,1.87871546988784,1.25658032829345,1.15717433668907,0.985624672971654,1.52957164198475,1.16911204439008
pAF,119,distributed_node_runs,10,0.630336731947767,0.709912061639353,0.544514498774332,0.950366802663488,1.99233572049538,0.657889969250501,1.19054508360627,1.79124627598856,1.0957532812834,0.720023865234943,0.807702090196789,0.702560827992457,0.60413450138713
pAF,127,distributed_node_runs,11,0.874730613289801,1.61063375867296,1.79955813210065,1.10169876445966,1.56061650963381,1.87667780638298,1.28123175634178,0.6798736073494,0.516078362282124,0.910766502759707,0.789911505329809,0.783602769467671,1.80542942201107
pAF,137,distributed_node_runs,12,1.30129261577386,1.86801153380223,1.95359488362314,0.510552563061311,1.93797395069802,1.55749828614195,0.932838652579912,1.05263152958801,1.20723060954274,1.78078609384339,0.737959058020798,1.27999666898452,1.49081900709667
pAF,151,distributed_node_runs,13,1.11269809756659,0.992760316680197,1.93284215794652,1.53521052290369,1.51101827937562,1.55301547767079,1.11536899645141,0.785631122996533,1.67952031088016,0.668864193794864,1.03574156372311,0.870674788013092,1.02640855319667
pAF,184,distributed_node_runs,14,0.766955028159951,1.46529073103508,1.18639911327293,0.605815011484497,1.13622521470528,0.515903106201276,1.27476537463787,1.50078568960202,0.552178816608652,1.13501196750799,0.760799962706153,0.87807447662627,1.47581701629824
pAF,205,distributed_node_runs,15,0.678595558495735,1.0064401793659,1.76798832761223,1.03252947476617,1.57991100635025,0.929453524954791,0.669911110964168,0.936041269977875,0.77930504791995,0.849922312247669,0.738404767352175,1.65914739075728,0.56104123898299
pAF,209,distributed_node_runs,16,1.23837540669197,1.55823569785366,0.931415192873006,0.657780361437296,1.74778314197998,1.35082658504114,0.575812669474171,1.20954471942691,1.98490147407344,0.899742180065225,0.99756382698538,1.3359290836485,1.54122769786273
pAF,212,distributed_node_runs,17,0.767439751144265,1.33311824223192,1.30802846831061,0.551287384951849,1.15995073508315,0.586548199018363,1.67176472535412,1.38483763961078,0.971623845509709,0.938451392430122,0.718852110042148,0.698625001532066,1.01326954817141
pAF,229,distributed_node_runs,18,1.90426331661624,1.51060393041542,0.886601742097207,1.94035549935804,1.88148733102664,1.76538419608125,1.78329323569399,1.81627889425622,1.95526986102011,1.63272387754541,1.70816829422391,1.53151471776533,1.72161971323992
pAF,232,distributed_node_runs,19,1.32320828258998,1.73806933640324,1.23781927747494,1.17073606008788,1.16848308991056,1.76355779060971,1.97442493577902,1.00299099134723,1.32845356880362,1.74864870929995,1.67338291870324,1.47104239373009,1.54091515851558
pAF,236,distributed_node_runs,20,0.815940780025469,1.24295987906076,0.744564315220652,0.584631066853515,1.41488009957617,1.87900236186773,1.73177174370715,0.996610230076778,0.726937992595028,0.8078369337034,1.68240406472144,1.01125612596284,1.61954578691001
pAF,241,distributed_node_runs,21,1.36980990157882,1.93937890489832,1.04010234313543,1.9126943105426,1.56878589650701,1.65952218238637,1.22622521257084,1.1278464407218,1.12495763493563,1.49963875325218,0.526155723130623,1.30915940130674,1.85726768850276
pAF,250,distributed_node_runs,22,0.953252517357574,0.881697124619216,0.765104126837352,1.3058906010526,1.54939170808282,0.743707111093516,1.76703966721074,1.38372673666064,0.84195562375255,1.31844934071706,1.37821304385598,1.59503367758332,0.55415317057132
pAF,258,distributed_node_runs,23,1.12442879414282,1.16264962066863,1.92263063554316,1.11269741717369,0.777435103772472,1.03417704645566,1.67461804248301,1.50572241179255,0.712355997074057,1.91172044588624,1.54499616282568,1.38296365880803,0.986342325127795
pAF,267,distributed_node_runs,24,1.19166909435208,1.1160338310622,1.75558330908326,1.82487635969242,1.59276520547387,1.877119135801,0.523798957118226,1.76798223258025,1.0261875824649,1.34531965650549,0.788706754703517,1.67913094220726,0.504541435663463
pAF,277,distributed_node_runs,25,1.06693672136723,1.44242768221872,1.6763701045149,1.53471422557212,0.622238707013977,1.34725715238783,1.57992506953409,1.83360467080094,0.769433169175013,1.41422000918521,0.797584369083582,1.67689221270166,1.71888606961206
