population,profile_id,source_batch,source_simulation_id,RMP_bcl1000,APA_bcl1000,PlatA_bcl1000,mx_dvdt_bcl1000,APD95_bcl1000,APD90_bcl1000,APD50_bcl1000,APD20_bcl1000,rep_failure_bcl1000,rep_EAD_bcl1000,rep_DAD_bcl1000,alternan_bcl1000,CaT_min_bcl1000,CaT_max_bcl1000,CaT_amp_bcl1000,CaD90_bcl1000,CaD50_bcl1000,tau_decay_bcl1000,SCaEs_bcl1000,RMP_bcl500,APA_bcl500,PlatA_bcl500,mx_dvdt_bcl500,APD95_bcl500,APD90_bcl500,APD50_bcl500,APD20_bcl500,rep_failure_bcl500,rep_EAD_bcl500,rep_DAD_bcl500,alternan_bcl500,CaT_min_bcl500,CaT_max_bcl500,CaT_amp_bcl500,CaD90_bcl500,CaD50_bcl500,tau_decay_bcl500,SCaEs_bcl500,passes_calibration
pAF,11,distributed_node_runs,1,-75.6977437980046,106.656794781387,51.8091994015438,235.677409670638,218.410284824997,167.914761979424,18.0978320254944,1.92324848785938,0,0,0,0,0.104683273443176,0.772385138871716,0.66770186542854,377.547829367213,100.068256212799,144.918677679162,0,-75.1596299197993,105.380340932324,51.9763048205945,228.768185523502,185.535084733834,146.86580981913,19.2499034335924,1.90117435060893,0,0,0,0,0.142393211723145,0.563421092836748,0.421027881113603,315.069000602081,105.377341289037,151.978483238271,0,1
pAF,19,distributed_node_runs,2,-77.633880386478,116.860457023455,56.9684505371351,310.712397732448,294.765687163745,232.869563272674,17.3534136211965,1.65040666255663,0,0,0,0,0.0933989804698478,0.702274534301034,0.608875553831186,364.09330898655,114.907958434829,151.113082905423,0,-75.8784455751451,114.990415468471,55.4268659113141,295.264090984262,256.71991025169,209.444579185703,15.9508039013308,1.61641874603811,0,0,0,0,0.121979814205563,0.515942591484798,0.393962777279235,320.358161566197,125.06482083899,160.594794544142,0,1
pAF,23,distributed_node_runs,3,-71.3005127565354,92.6746802234993,54.951691934889,160.47887287511,249.179572972767,177.351908240176,34.1911535804247,4.85102195682703,0,0,0,0,0.106985875334554,0.713592408894852,0.606606533560298,381.228655481696,101.873134516936,148.693999701202,0,-70.4592374863471,89.1442310923855,55.115926267386,144.399630213631,196.663760843647,147.986847848537,38.1411563074435,5.0839971975729,0,0,0,0,0.133674515369296,0.482422020762917,0.348747505393621,320.382509503688,109.332621608421,156.646629669667,0,1
pAF,37,distributed_node_runs,4,-77.5912777505559,126.091093163257,57.1900668742986,380.915708120178,238.623166004661,179.330224472258,13.4321449303316,1.92471198053681,0,0,0,0,0.095287120698141,0.601787044434035,0.506499923735894,391.653610694106,110.21108101432,156.311058978956,0,-76.5254076039128,125.427575964924,57.1155805415785,372.789471171458,198.986458625179,154.368348156164,13.1282522130496,1.89830823288867,0,0,0,0,0.120245936498548,0.425026412470145,0.304780475971597,324.428727194729,115.493828781953,167.753398779123,0,1
pAF,49,distributed_node_runs,5,-73.4403096514774,110.178336960224,59.7114545625984,261.473307463668,340.53950185392,244.853919152731,31.5262083793423,2.48583083053381,0,0,0,0,0.105412164399302,0.79926152633645,0.693849361937148,351.302088361721,102.167656432248,143.499284358503,0,-70.6640318699244,99.5874559898143,58.1890164441451,197.424931716951,281.071903002408,205.247962329166,44.365369984007,2.86913066186753,0,0,0,0,0.133742858420725,0.570210491339027,0.436467632918303,309.818534219605,112.79059853674,143.672875341158,0,1
pAF,73,distributed_node_runs,6,-79.1174594855822,120.613839384191,65.1569630853164,329.43169089939,220.815758198922,178.737184183236,31.3028000554259,2.51308514663833,0,0,0,0,0.0952881774690196,0.647253484973917,0.551965307504898,389.25235262428,112.46004748089,154.51293658263,0,-78.221777811323,119.992991665376,64.501010912589,324.964290916886,195.771935170666,162.883445931802,31.2572363582003,2.42915114772404,0,0,0,0,0.12979107980459,0.494138776516742,0.364347696712152,320.932648957274,116.726204837563,160.106472420842,0,1
pAF,85,distributed_node_runs,7,-78.465901527459,124.428630562285,62.3565425346768,368.507583904652,225.839443539997,168.690775783412,20.7270583717254,1.84185845844331,0,0,0,0,0.0986178360740617,0.727261662237286,0.628643826163224,368.91467847459,105.634179117653,143.633143712679,0,-77.1889337922789,123.68532230581,61.5998259449446,360.53436945361,195.762665649636,153.19782917522,19.9276122691335,1.78902571996878,0,0,0,0,0.135524200073976,0.561202772600822,0.425678572526846,312.695885281282,112.093924766952,148.218769762794,0,1
pAF,99,distributed_node_runs,8,-71.7465802542061,108.824590439718,51.1016148744521,252.033843739803,292.635923204441,209.190639863438,15.4585118819377,1.94691423136101,0,0,0,0,0.105165784066397,0.766043192006891,0.660877407940493,374.832746838663,100.829776842889,150.774309468277,0,-70.3035381019654,101.700728289367,50.2915611547637,209.374626905389,240.215092804712,176.447962733946,19.531545197493,2.09155876441946,0,0,0,0,0.139999767153875,0.55251090966301,0.412511142509135,316.145835684274,107.525669031169,155.101957350475,0,1
pAF,117,distributed_node_runs,9,-74.3942339243708,122.262761424469,62.5240971982143,347.457564000602,303.518231277172,214.879282947542,24.7226371990109,2.1787699628112,0,0,0,0,0.101028102053931,0.744665888243233,0.643637786189303,375.911344032007,112.296373420184,151.005536027924,0,-72.3180424400058,115.431307420756,60.0531582285508,295.999371157838,247.898528264177,182.518041485,28.8430239085865,2.25559078043079,0,0,0,0,0.137983526622604,0.568401730671331,0.430418204048727,316.593314571917,116.43573455455,149.3495670984,0,1
pAF,119,distributed_node_runs,10,-73.759019525929,120.590237568622,54.9511062325492,330.783929232192,326.348204934693,240.047028689616,13.6854124975289,2.0431909422623,0,0,0,0,0.104545811056692,0.683437393208711,0.578891582152018,399.169857956411,107.802781327046,166.950631054131,0,-72.3672548530178,114.90502583594,53.7263758799578,289.59231389563,266.929599278272,201.244748033598,15.2022680126756,2.14112484718498,0,0,0,0,0.136785172576383,0.496749685021291,0.359964512444908,325.927777167359,111.637590519382,168.652012935722,0,1
